Homo sapiens	Saccharomyces cerevisiae	Candida albicans	Botrytis cinerea	Thermothielavioides terrestris	Aspergillus oryzae	Toxoplasma gondii	Plasmodium sp. gorilla clade G2	Trypanosoma brucei	Leishmania infantum	Staphylococcus aureus	Priestia aryabhattai	Streptococcus pneumoniae	Streptococcus thermophilus	Streptococcus suis	Limosilactobacillus fermentum	Enterococcus faecalis	Enterococcus faecium	Blautia wexlerae	Blautia massiliensis	Blautia sp. SC05B48	Blautia obeum	Anaerostipes hadrus	[Ruminococcus] torques	[Ruminococcus] gnavus	[Eubacterium] rectale	Anaerobutyricum hallii	Coprococcus comes	[Clostridium] scindens	Dorea longicatena	Enterocloster bolteae	Oscillospiraceae bacterium	Ruminococcus sp. SR1/5	Clostridium sp. AWRP	Clostridium neonatale	Eubacterium callanderi	Mogibacterium diversum	uncultured Clostridia bacterium	Erysipelatoclostridium ramosum	[Clostridium] innocuum	Erysipelotrichaceae bacterium 66202529	Parvimonas micra	Actinomyces graevenitzii	Schaalia odontolytica	Bifidobacterium longum	Eggerthella lenta	Collinsella aerofaciens	Escherichia coli	Klebsiella pneumoniae	Polynucleobacter sp. MG-Unter2-18	Bacteroides thetaiotaomicron	Bacteroides uniformis	Phocaeicola dorei	Phocaeicola vulgatus	Parabacteroides distasonis	Parabacteroides merdae	Tepiditoga spiralis	uncultured human fecal virus	Sellimonas intestinalis	Clostridium perfringens	Clostridiaceae bacterium Marseille-Q4149	Lactococcus lactis	Limosilactobacillus oris	Megasphaera massiliensis	Bifidobacterium adolescentis	Bifidobacterium pseudocatenulatum	Bifidobacterium bifidum	Collinsella stercoris	Bacteroides salyersiae	Listeria monocytogenes	Streptococcus lutetiensis	Streptococcus infantarius	Klebsiella oxytoca	Christensenella minuta	Streptococcus sp. HSISS1	Streptococcus equinus	Streptococcus gallolyticus	Lacticaseibacillus paracasei	Arachnia rubra	Klebsiella michiganensis
Homo sapiens	NA	0.352290581441203	0.0159748184907449	0.388999083310842	0.063815335534171	0.247948340176834	0.671877743428794	0.063551162078673	0.566441867632398	0.288023951788912	-0.347877929500149	-0.577416934713941	-0.236931881859972	-0.459213894337375	-0.615884037012804	-0.339613973507123	0.000501849857045272	-0.627243779526631	-0.722197358485218	-0.451738866313716	-0.479095711523192	-0.830262955357986	-0.470064871241043	-0.816096519438743	-0.582270708978637	-0.576449078529126	-0.637548497088579	-0.704945595278794	-0.550317092688057	-0.548008203145719	-0.301016813634912	-0.781956339619564	-0.446713737321988	-0.600275629038495	-0.908706148205633	-0.273725230645096	-0.527331414510417	-0.797289020396837	-0.599364971815889	-0.563584165729913	-0.164542194216194	-0.361472062402307	-0.35999463529123	-0.49899607696651	-0.408580219110753	-0.63395805834955	-0.590518812526648	-0.0389939355759561	-0.0685206577123251	0.340531684184017	-0.282300006496958	-0.242855865314257	-0.011599177580632	-0.266056294079259	-0.279552678543039	0.0101284826839231	-0.3239891683111	-0.763189672364102	-0.491710487593639	-0.629261084827134	-0.568565690455463	-0.559210611978652	-0.334990762553174	-0.315373233494288	-0.307782446941189	-0.302066650361754	-0.303843734460639	-0.637805879852341	-0.0235201018710046	-0.114594282039518	-0.206200528796994	-0.207837572838397	-0.141780054408147	-0.804354665882941	-0.476163502339013	-0.301163157921601	-0.144967825752691	-0.802956845743877	-0.327371380590228	-0.20885298713385
Saccharomyces cerevisiae	0.352290581441203	NA	-0.114006421336854	0.872786412173594	0.379409077130099	0.550444584997943	0.607658813028016	0.0653475593121654	0.519648251092233	0.739092902740229	-0.0430279640219125	-0.0287901582284413	0.311604382858223	0.0619391121682582	-0.225901912666522	-0.167954025187157	0.0293668377322484	-0.287307401778871	-0.202319370510085	0.0654993248014091	0.0543510856266549	-0.195996710612089	0.0700027319346403	-0.308761490922677	-0.26348676296142	-0.241889086256196	-0.261055332115236	-0.226141130834232	-0.215351322481835	-0.20203511717394	-0.162017532215058	-0.302650980053661	0.0698106459314124	0.0165783291638488	-0.285069482913438	-0.135728835896006	-0.0323075483670755	-0.318790187959204	-0.00703500593491926	-0.260279716398142	-0.18866100933849	0.117948741954216	0.116292808690041	0.0424031308265067	-0.275874190809897	-0.279689788993964	-0.268015605507009	-0.0664519908454942	-0.196095695808562	0.718307555563128	-0.0705589144285593	-0.0685373392222186	0.153087148107747	-0.17974446179005	-0.162062290270113	-0.146299546149664	0.235747004592378	-0.174781273021859	-0.231891159212453	-0.280651243188438	-0.24323158390011	-0.249509299619443	-0.161165660253582	-0.00792537991818905	-0.148597154660047	-0.143970766221127	-0.144942984672811	-0.298808166186471	0.162176021454526	-0.122227914792231	-0.0783264420424973	-0.0702737428069561	-0.103427354791362	-0.328513657989585	-0.168801010225337	-0.125189436872686	-0.0421650632044869	-0.371867767537177	0.0876994550678968	-0.140915490709649
Candida albicans	0.0159748184907449	-0.114006421336854	NA	-0.0236277659714136	0.0537428137750705	0.211887772748478	-0.105557953703222	-0.0211455391456654	-0.0384192339309314	-0.00312359003696798	-0.0608840798996553	-0.0772138389339421	0.429237936634007	-0.0595551138030593	-0.00587075466662317	-0.0210857201766126	0.3867845127127	-0.0691016536421567	-0.0796750250340467	-0.00732838581586545	-0.0186050152732053	-0.0712069095030762	-0.0622204637536909	-0.0890712771660641	-0.0632241706932358	-0.0687185634496855	-0.0764787757479159	-0.0838972024929683	-0.050466016228871	-0.0687884027059883	-0.0205698086821169	-0.0540840980576051	-0.0146774233309464	-0.074080398855198	-0.0171288610890035	0.00330954718694886	0.022432620637959	-0.0740830633222789	-0.0518369635456578	-0.0568569851907621	0.694029834508889	0.0193980458541059	-0.0430774199046313	-0.0282050769826619	0.408038284211242	-0.0603850100778858	-0.0478466461557069	-0.0711175972570449	-0.115696401532837	-0.0296103762142919	-0.0539575945878088	-0.0097111840790715	-0.00908433139946961	0.01185815721489	-0.0250795266958554	-0.0369588416111951	-0.0860122401663515	-0.0676385750965302	-0.0498937312566018	0.212410985269943	-0.0412989369881123	-0.0848847849634227	-0.0431605993928269	-0.0199828212608259	-0.0302480672570519	0.0942702413809424	0.0255461772281582	-0.055976340951322	-0.0416636189593284	0.0553250748486009	0.331724943245891	0.33497287107424	-0.0792473525915846	-0.0457506936326134	-0.0341106782837445	0.273408927830011	0.362654404933048	0.170322543325399	-0.0234566796303296	-0.0925069371782944
Botrytis cinerea	0.388999083310842	0.872786412173594	-0.0236277659714136	NA	0.343430728025531	0.666233497879658	0.666816745606098	-0.0210978637593326	0.632179213392743	0.882178566939059	-0.0267156742802294	-0.12273040167577	0.292634061941386	-0.102844090454332	-0.241321741632592	-0.155031908933197	0.0459953688400005	-0.27071779807941	-0.257333512437748	-0.104963179661129	-0.115827194547897	-0.284820481823345	-0.101842185987313	-0.320498445977842	-0.252362676808288	-0.232889512709439	-0.252097349109642	-0.260136922870944	-0.219676676139982	-0.208861014706156	-0.155781019882264	-0.312146675373462	-0.101278745115317	-0.121170678650635	-0.341891529369318	-0.112950244979912	-0.144530639281854	-0.316536913099631	-0.163824721106116	-0.247015600722102	-0.173791150244487	-0.0537522711939738	-0.0596986201181027	-0.117964535133733	-0.247662106130488	-0.271246811862987	-0.248340426760438	0.00505304131407545	-0.173658592589111	0.856840496885591	-0.109571603421318	-0.0909793531881719	0.0824979940227722	-0.176372244684624	-0.156559576600725	-0.0701849382703079	0.0768027092041759	-0.262361056012463	-0.218871192811283	-0.270476044406181	-0.225788182333673	-0.258240723467377	-0.152372779582573	-0.0589244930525871	-0.140015428566857	-0.128846284033201	-0.133227490593944	-0.282882351816651	0.0814598292350437	-0.118686447790868	-0.0538178237332585	-0.0511838930669385	-0.0448507490578915	-0.328917053606469	-0.18495769455442	-0.100921320570181	-0.0225413894850973	-0.35169897001232	-0.0877308155832235	-0.0714198798043752
Thermothielavioides terrestris	0.063815335534171	0.379409077130099	0.0537428137750705	0.343430728025531	NA	0.477884084107975	0.138022574691547	0.547828278163773	0.182842874012582	0.407528991443076	-0.133556055674216	0.380427152032539	0.244573250854426	0.350369388063129	-0.0574227681219287	-0.129078460283486	0.206588304274705	-0.288764115356133	0.0982443208714942	0.423481013585873	0.409996818197154	0.126610527767123	0.417507483323064	-0.10659056024865	-0.248340079986644	0.0417303062634438	-0.0841548235282708	-0.0180168556706122	-0.157349762072464	-0.111817585936644	-0.0762353133321583	-0.00122221230493472	0.425291227389556	0.481899498958773	0.0471862884295915	-0.118133592193588	0.242196292349044	-0.0923971686053725	0.30443050965851	-0.252487371501689	-0.0820487550061825	0.462668899697996	0.43825002666213	0.391300300752592	-0.141704036281241	-0.251683973691671	-0.182088700574976	-0.153299715094484	-0.291660275075875	0.190007333616131	0.0387806274325327	-0.0194705335233189	0.205985211133968	-0.00317965029610605	-0.0444855415260407	-0.0765781751764892	0.580752771114391	0.190529505027236	-0.226311140600465	-0.145952434999694	-0.0115569982084443	-0.0975043085646037	-0.123870282660686	0.0742661106761834	-0.112382701317587	-0.0482184575666849	-0.0783381861332474	-0.234465437845467	0.224184875792749	-0.0795541947177814	0.10509048271129	0.1254839764037	-0.142052485181749	-0.20570082889762	-0.0800673710779351	0.0345620847966294	0.151031322268945	-0.178466793449974	0.405316459319369	-0.143409015996756
Aspergillus oryzae	0.247948340176834	0.550444584997943	0.211887772748478	0.666233497879658	0.477884084107975	NA	0.21346163107182	0.176109672143044	0.223956411807149	0.717860694144213	-0.0640182353552095	0.0406983731391602	0.190019322532527	0.167503002609292	-0.139576068815809	-0.14391465483489	0.152044132727684	-0.238020379063269	-0.110360288016861	0.17631064896196	0.167139741634801	-0.0737333890621103	0.178172077952833	-0.231092817408922	-0.219093867433667	-0.202001384503207	-0.207116001020103	-0.152582056512391	-0.161999531245079	-0.148286625674099	-0.152257608118452	-0.226538212619124	0.179855538118515	0.112816750363183	-0.157458075723363	-0.0693586798382745	0.0907761946081536	-0.24682244669275	0.113941271288906	-0.217935026506697	-0.0998541705538615	0.240420208025602	0.222497720363212	0.165542168794688	-0.214652700109307	-0.220315134486502	-0.219781589638915	-0.148533905747746	-0.249792301403466	0.439732299811472	-0.048689831886977	-0.0439367758788829	0.134856016186051	-0.161158125362924	-0.151161120753072	-0.1110607161514	0.320514523665613	-0.0680159838554986	-0.195352806734521	-0.175800406996616	-0.189362159788201	-0.192532603620562	-0.152860371280958	0.0127478824319544	-0.140267101413061	-0.0995709152992435	-0.120019323039943	-0.255562861168757	0.138039624750333	-0.0182254407361084	0.0464918538403657	0.0584826838516666	-0.181194904546469	-0.241551026883719	-0.117129183402586	-0.00822057526533677	0.0861784180700394	-0.127175404709005	0.194337133528112	-0.205342907208733
Toxoplasma gondii	0.671877743428794	0.607658813028016	-0.105557953703222	0.666816745606098	0.138022574691547	0.21346163107182	NA	0.001278274639755	0.885816719791971	0.40308653300257	-0.168222093995478	-0.351078811833693	0.0949855465212488	-0.30867334262525	-0.441192293726011	-0.208339890612859	-0.066948694771251	-0.440069491969323	-0.49126960060001	-0.313056566768541	-0.330888773195803	-0.572584975119882	-0.312644485581197	-0.558298128338838	-0.408354102587144	-0.388899715292868	-0.432709266023564	-0.47461870897678	-0.378553339431694	-0.372420077916431	-0.19597671762303	-0.537057932393815	-0.307894131924125	-0.391329795140431	-0.642446624076111	-0.177550391898661	-0.371663644638332	-0.544985050308743	-0.407570584969617	-0.396545812500965	-0.274968774848902	-0.253348167258	-0.241396617657411	-0.341767452925933	-0.362661609456129	-0.444304686082893	-0.396686858097428	0.258816735515892	-0.000329484726172201	0.785036523178601	-0.203585301954497	-0.155222870295692	0.0539085874722958	-0.21112149957255	-0.192000426178599	-0.080036967959228	-0.191588287979761	-0.522023824054434	-0.347275790033083	-0.494826862159791	-0.390970684787975	-0.395201844009148	-0.203759108750408	-0.199571856617606	-0.186882275190461	-0.207778904133544	-0.194653410310469	-0.425355032329	0.0300102755573279	-0.300773040360244	-0.209769824295614	-0.211793995470227	0.173016842228247	-0.568222234642804	-0.325535296025883	-0.267950087436961	-0.170935254685069	-0.585747677712574	-0.261005841181704	0.122393871977396
Plasmodium sp. gorilla clade G2	0.063551162078673	0.0653475593121654	-0.0211455391456654	-0.0210978637593326	0.547828278163773	0.176109672143044	0.001278274639755	NA	0.0853315258056098	0.0117400373448102	-0.170620057330619	0.229759181615185	0.306300207586629	0.573337693598488	-0.0820049505175712	-0.147799183479738	-0.140313432653574	-0.238487489643776	0.0865064217949072	0.626929152496887	0.618515708252049	0.17708336009255	0.606341946021318	-0.152991575989981	-0.19547381039458	-0.186343748041669	-0.192580211828349	-0.0500746752895658	-0.139196137223043	-0.115996997705756	-0.109781164364725	-0.12911301117197	0.628457472555006	0.467065109236088	0.0401016280838867	-0.135259523888364	0.347077353695574	-0.194449996681564	0.53512469044856	-0.201870455123261	-0.0040092996784986	0.639107124329688	0.665598112762899	0.581142545478907	-0.167092700748528	-0.189112641361143	-0.241340919869947	-0.104862049963186	-0.143310263782342	-0.124805963171	-0.117854125390667	-0.100503915525335	0.0050833516084098	-0.0708957977938102	-0.0817514784277845	0.190447352676552	0.561915748026594	0.205901441719216	-0.180949931319163	-0.195613773546355	-0.190223234540615	-0.104695137089748	-0.145631614214875	-0.116842830156923	-0.14100206489989	-0.17230670237417	-0.155313195910339	-0.239835259178561	0.0150830671207696	-0.168018295864696	-0.194564015160373	-0.170862561933697	-0.116469252094334	-0.1944272238424	-0.052163359111317	-0.215469101040022	-0.175460863928949	-0.100588852126133	0.632249159962501	-0.0935455082958326
Trypanosoma brucei	0.566441867632398	0.519648251092233	-0.0384192339309314	0.632179213392743	0.182842874012582	0.223956411807149	0.885816719791971	0.0853315258056098	NA	0.292174680694699	-0.115270732751106	-0.295064076783941	0.256342814379038	-0.25041594463571	-0.36001264420355	-0.184827941712528	-0.0397666961288321	-0.367623271887233	-0.408725683924059	-0.258105157852908	-0.273278240787872	-0.474602237198784	-0.254391856410328	-0.462666428935206	-0.342902782186265	-0.321173715806025	-0.357144382817001	-0.389819619411982	-0.309341546672628	-0.304723295629667	-0.172234482806022	-0.450616292943785	-0.253458251941531	-0.316841083943779	-0.531004480686378	-0.152589383977491	-0.302443107290319	-0.453459273034422	-0.334528097935775	-0.333381118716231	-0.221475997199525	-0.205799391028858	-0.198035161728454	-0.282511657199728	-0.308614832764102	-0.373464323797019	-0.334270146686237	0.135168063727997	-0.137260859563331	0.722415922628973	-0.162659722582228	-0.104963555955524	0.101394691122338	-0.179727094364877	-0.161691704762814	-0.0369102807915894	-0.12451906976936	-0.43344046379178	-0.293752837728727	-0.404651449927937	-0.32880703013487	-0.326041050285665	-0.181858109849128	-0.137513161850071	-0.168735363643483	-0.182546290876918	-0.173053283742951	-0.366461987315119	0.0612939078591152	-0.340420251899557	-0.166371494896055	-0.167863722266311	0.0467061066810113	-0.473538186377795	-0.262713572316364	-0.217396714871721	-0.134117824214436	-0.475058908309298	-0.217386402407584	0.0186624497311645
Leishmania infantum	0.288023951788912	0.739092902740229	-0.00312359003696798	0.882178566939059	0.407528991443076	0.717860694144213	0.40308653300257	0.0117400373448102	0.292174680694699	NA	-0.0269845499323869	-0.0613545211113831	0.135996230283813	-0.0452119787252611	-0.172087470751273	-0.117013948581183	0.0861730215720764	-0.207796186553787	-0.174858481524501	-0.0426683707033926	-0.0510204643373726	-0.190540109332189	-0.0434474809280463	-0.23777307241485	-0.194560064415441	-0.178744176596546	-0.189854942162718	-0.190987006744554	-0.169426737794933	-0.156739652354901	-0.110472360545557	-0.225352188469216	-0.0401352140570737	-0.0415588948397118	-0.238933193736735	-0.0816084930533266	-0.0743649356481669	-0.233721444265345	-0.0927996039916702	-0.191004325481243	-0.127010631526699	0.0025436135897286	-0.00842722753806329	-0.0486395645323687	-0.183362940947508	-0.206370122883182	-0.183406366299851	-0.119733139377549	-0.204136772391688	0.626288306463575	-0.0653283489693976	-0.0770464782785535	-0.00529834219114338	-0.106953967182806	-0.103344079752556	0.013902995009368	0.106025798609178	-0.174151307666904	-0.168425255873213	-0.192546144720184	-0.162536041496921	-0.195920986441911	-0.1146944210277	-0.0852125320422146	-0.104422197764059	-0.0803452008035449	-0.0911595382191312	-0.213258827164989	0.00253698205124671	-0.0324313523464387	0.00831202106872434	0.01247929228878	-0.143459011437505	-0.241998085675853	-0.14118951356857	-0.0346359027994087	0.0336063471470893	-0.264114203995605	-0.0268918209890098	-0.15982356670129
